Week_No,Week_Name,Day_No,Class_Name,Agenda,Practice Session (2 Hours),Asynchronous Learning (1 Hour),DPP (Task + Questions)
1,"Introduction to the Software Development Industry and Web Development
Computer Programming Fundamentals",1,Decoding the Software Industry,"Introduction and Welcome to the Program
Diagnostic In-Class Quiz to gauge the learners
What is Software Development?
Job Opportunities in the Software Development industry
What does it take to be successful in this industry?
Latest trends in the software industry - The rise of AI","Logic puzzles and riddles to get them started on problem solving
Q&A Session",,Fundamental questions covering basics of web development and key industry stakeholders and trends.
,,2,Basics of Computer Networks and the Internet,"Talk about the genesis & history of the Internet
Understanding Computer Networks
""What happens when you type in a website URL in
the browser and hit enter? - Explain the journey""
""Talk about the request-response cycle that is 
typical to a website/web application.""
""How do web browsers work? Talk about popular 
browsers with a quick insight into their history""
Case Studies: Explain how popular websites/services work e.g. Amazon, Netflix etc.","Group Task - Solving everyday problems with technology. Divide the class into 2 - 3 groups, give them a broad problem to solve and let them come back with a vision for a solution.
Q&A Session",,"Questions covering concepts such as the request-response cycle, web browsers, URLs, networks"
,,3,Decoding Web Development,"Introduce HTML5, CSS3 and JavaScript as web development languages.
Explain the role of a server and server-side rendered content
Explain the difference between single-page applications, server-rendered applications and hybrid applications
Introduce the concept of libraries and frameworks for the frontend such as React, Angular and Vue
Introduce the backend and establish its role in the full-stack ecosystem. Talk about language-framework stacks.
Introduce the concept of databases and their role in the full-stack ecosystem.
Case Studies: Explain the architecture of full-stack applications",,,
,,4,Introduction to Computer Programming,"Introduction to Computer Programming
Exploring the insides of a computer program
How does a computer program work?
Syntax and Source Code
Introduction to Data Types - I
Introduce the concept of variables and values and establish their purpose in a computer program
In-Class Assessment : Basic Data Types and Use Cases","Team Activity: Divide the class into 2 - 3 teams. Learners have to identify the data types in actual code snippets. Explain why the data types have been used in a given situation.
Matching Data Types: Provide a list of different kinds of data (such as a phone number, a person's name, a price, a date, etc.) and ask learners to match each one to the most appropriate data type.","Introduction to Computer Programming | Module 1
Introduction to Computer Programming | Module 2","Questions on fundamentals of programming languages, syntax, source code, basic data types and their use cases."
,,5,Understanding Core Data Structures and Fundamental Constructs,"Introduce Data structures such as Stacks, Queues, Lists, Trees, Graphs, Arrays etc.
Establish concrete use cases and features of common data structures
Case Studies: Work through several case studies that explain the choice of data structure for a given situation
Quick Introduction to Pseudocode
Understanding Programming Constructs - Loops","Problem Solving Exercise: Given diverse situation, have the learners pick the right data structure to represent the data in the most efficient manner.","Introduction to Computer Programming | Module 3
Introduction to Computer Programming | Module 4",Fundamental questions on data structures including scenario based questions
2,"Computer Programming Fundamentals (Contd.)
Working with Git and GitHub for Version Control",1,Programming Constructs,"Understanding Conditionals
Understanding Functions
Fundamentals of Object-Oriented Programming - Concepts
What is an Algorithm?
Case Studies: Fundamental algorithm exercises",Algorithm Exercises,Introduction to Computer Programming | Module 5,"Algorithm exercises and solutions, Questions on fundamental programming constructs"
,,2,Introduction to Version Control and Git Basics,"Introduction to version control systems (VCS): Why version control is essential for developers.
Git basics: Installation, setting up Git, and configuration.
Initializing repositories and basic commands (git init, git add, git commit).","Setting up Git on personal computers.
Creating first repositories, making initial commits.
Practicing file addition and committing changes.",,
,,3,Branching and Merging,"Understanding branches in Git: Why and how to branch.
Creating, listing, and switching between branches (git branch, git checkout, and git switch).
Merging changes and resolving conflicts (git merge).","Creating and managing branches for different features or fixes.
Merging branches and handling merge conflicts through practical exercises.",,
,,4,Git Remote and GitHub Basics,"Introduction to GitHub and its importance.
Connecting a local repository to a remote repository (git remote add, git push, git pull).
Basics of working with GitHub: Repositories, forks, stars, and watching projects.","Pushing local repositories to GitHub.
Cloning repositories and pulling updates.
Forking projects on GitHub and cloning them locally.",,
,,5,Collaborative Development Using GitHub,"Collaborative workflows in GitHub (Feature Branch Workflow, Forking Workflow).
Using Pull Requests (PRs) for code review and collaboration.
Managing PRs: Reviewing, discussing, and merging.","Collaborating on a shared repository (students can pair up or work in small groups).
Opening, reviewing, and merging Pull Requests.
Resolving conflicts that arise during PRs.",,
